Time,Speed
4680,18.77
10624,14.78
16664,14.54
22612,14.77
28556,14.78
34596,14.54
40552,14.75
46476,14.83
52520,14.53
58484,14.73
64432,14.77
70492,14.50
76440,14.77
82388,14.77
88432,14.53
94392,14.74
100316,14.83
106356,14.54
112304,14.77
118252,14.77
124276,14.58
130224,14.77
136156,14.81
142196,14.54
148120,14.83
154048,14.82
160072,14.58
166020,14.77
171948,14.82
177976,14.57
183908,14.81
189848,14.79
195856,14.62
201804,14.77
207716,14.86
213744,14.57
219676,14.81
225608,14.81
231652,14.53
237580,14.82
243512,14.81
249536,14.58
255468,14.81
261400,14.81
267424,14.58
273356,14.81
279280,14.83
285308,14.57
291256,14.77
297172,14.85
303200,14.57
309132,14.81
315064,14.81
321092,14.57
327020,14.82
332948,14.82
338972,14.58
344920,14.77
350836,14.85
356860,14.58
362792,14.81
368716,14.83
374736,14.59
380664,14.82
386596,14.81
392620,14.58
398552,14.81
404484,14.81
410508,14.58
416448,14.79
422360,14.86
428388,14.57
434320,14.81
440248,14.82
446276,14.57
452208,14.81
458148,14.79
464168,14.59
470100,14.81
476032,14.81
482056,14.58
487988,14.81
493920,14.81
499944,14.58
505884,14.79
511824,14.79
517852,14.57
523784,14.81
529716,14.81
535744,14.57
541692,14.77
547624,14.81
553668,14.53
559612,14.78
565544,14.81
571568,14.58
577516,14.77
583448,14.81
589472,14.58
595420,14.77
601360,14.79
607384,14.58
613332,14.77
619264,14.81
625292,14.57
631240,14.77
637156,14.85
643184,14.57
649128,14.78
655060,14.81
661084,14.58
667032,14.77
672964,14.81
678988,14.58
684920,14.81
690852,14.81
696872,14.59
702804,14.81
708736,14.81
714764,14.57
720696,14.81
726628,14.81
732656,14.57
738600,14.78
744524,14.83
750548,14.58
756480,14.81
762396,14.85
768420,14.58
774368,14.77
780296,14.82
786316,14.59
792244,14.82
798176,14.81
804200,14.58
810132,14.81
816064,14.81
822088,14.58
828020,14.81
833960,14.79
839988,14.57
845920,14.81
851836,14.85
857864,14.57
863796,14.81
869728,14.81
875748,14.59
881692,14.78
887624,14.81
893648,14.58
899580,14.81
905508,14.82
911516,14.62
917448,14.81
923372,14.83
929396,14.58
935312,14.85
941244,14.81
947252,14.62
953184,14.81
959100,14.85
965104,14.63
971036,14.81
976952,14.85
982964,14.61
988896,14.81
994828,14.81
1000844,14.60
1006760,14.85
1012236,16.4
1017020,18.36
1021356,20.26
1025404,21.70
1029340,22.32
1033096,23.39
1036760,23.98
1040412,24.6
1043960,24.76
1047468,25.5
1051016,24.76
1054476,25.39
1057900,25.66
1061388,25.19
1064800,25.75
1068204,25.81
1071648,25.51
1075040,25.90
1078412,26.6
1081840,25.63
1085232,25.90
1088608,26.3
1092020,25.75
1095396,26.3
1098772,26.3
1102180,25.78
1105552,26.6
1108920,26.9
1112328,25.78
1115704,26.3
1119052,26.24
1122476,25.66
1125836,26.15
1129200,26.12
1132604,25.81
1135980,26.3
1139328,26.24
1142748,25.69
1146108,26.15
1149476,26.9
1152884,25.78
1156244,26.15
1159608,26.12
1163016,25.78
1166376,26.15
1169740,26.12
1173148,25.78
1176508,26.15
1179872,26.12
1183276,25.81
1186636,26.15
1190000,26.12
1193408,25.78
1196768,26.15
1200112,26.27
1203536,25.66
1206900,26.12
1210244,26.27
1213652,25.78
1217020,26.9
1220360,26.31
1223768,25.78
1227136,26.9
1230480,26.27
1233900,25.69
1237252,26.21
1240596,26.27
1244000,25.81
1247364,26.12
1250708,26.27
1254112,25.81
1257476,26.12
1260820,26.27
1264228,25.78
1267576,26.24
1270936,26.15
1274344,25.78
1277696,26.21
1281040,26.27
1284448,25.78
1287800,26.21
1291156,26.18
1294564,25.78
1297916,26.21
1301256,26.31
1304664,25.78
1308016,26.21
1311372,26.18
1314764,25.90
1318116,26.21
1321476,26.15
1324868,25.90
1328236,26.9
1331580,26.27
1334988,25.78
1338340,26.21
1341684,26.27
1345076,25.90
1348444,26.9
1351788,26.27
1355192,25.81
1358540,26.24
1361884,26.27
1365276,25.90
1368624,26.24
1371984,26.15
1375376,25.90
1378724,26.24
1382080,26.18
1385472,25.90
1388824,26.21
1392164,26.31
1395572,25.78
1398924,26.21
1402268,26.27
1405676,25.78
1409028,26.21
1412368,26.31
1415776,25.78
1419128,26.21
1422468,26.31
1425860,25.90
1429212,26.21
1432552,26.31
1435960,25.78
1439312,26.21
1442652,26.31
1446060,25.78
1449412,26.21
1452752,26.31
1456144,25.90
1459496,26.21
1462840,26.27
1466248,25.78
1469600,26.21
1472940,26.31
1476348,25.78
1479700,26.21
1483044,26.27
1486436,25.90
1489788,26.21
1493148,26.15
1496536,25.93
1499900,26.12
1503244,26.27
1506632,25.93
1509996,26.12
1513340,26.27
1516748,25.78
1520096,26.24
1523440,26.27
1526848,25.78
1530216,26.9
1533560,26.27
1536964,25.81
1540316,26.21
1543676,26.15
1547068,25.90
1550436,26.9
1553780,26.27
1557188,25.78
1560540,26.21
1563900,26.15
1567292,25.90
1570660,26.9
1574004,26.27
1577408,25.81
1580760,26.21
1584104,26.27
1587508,25.81
1590860,26.21
1594204,26.27
1597608,25.81
1600956,26.24
1604316,26.15
1607708,25.90
1611072,26.12
1614416,26.27
1617824,25.78
1621172,26.24
1624512,26.31
1627920,25.78
1631272,26.21
1634612,26.31
1638020,25.78
1641372,26.21
1644712,26.31
1648120,25.78
1651472,26.21
1654816,26.27
1658220,25.81
1661572,26.21
1664916,26.27
1668304,25.93
1671652,26.24
1675012,26.15
1678404,25.90
1681752,26.24
1685096,26.27
1688504,25.78
1691856,26.21
1695200,26.27
1698608,25.78
1701960,26.21
1705300,26.31
1708708,25.78
1712060,26.21
1715400,26.31
1718792,25.90
1722144,26.21
1725488,26.27
1728896,25.78
1732248,26.21
1735588,26.31
1738980,25.90
1742332,26.21
1745676,26.27
1749084,25.78
1752436,26.21
1755776,26.31
1759168,25.90
1762516,26.24
1765860,26.27
1769268,25.78
1772620,26.21
1775960,26.31
1779352,25.90
1782704,26.21
1786044,26.31
1789436,25.90
1792788,26.21
1796132,26.27
1799540,25.78
1802892,26.21
1806220,26.40
1809628,25.78
1812980,26.21
1816320,26.31
1819712,25.90
1823064,26.21
1826408,26.27
1829816,25.78
1833164,26.24
1836504,26.31
1839896,25.90
1843240,26.27
1846580,26.31
1849988,25.78
1853332,26.27
1856676,26.27
1860068,25.90
1863428,26.15
1866756,26.40
1870160,25.81
1873504,26.27
1876848,26.27
1880252,25.81
1883596,26.27
1886940,26.27
1890328,25.93
1893672,26.27
1897016,26.27
1900404,25.93
1903764,26.15
1907092,26.40
1910496,25.81
1913840,26.27
1917192,26.21
1920580,25.93
1923940,26.15
1927272,26.37
1930676,25.81
1934020,26.27
1937356,26.34
1940764,25.78
1944108,26.27
1947460,26.21
1950852,25.90
1954196,26.27
1957548,26.21
1960940,25.90
1964280,26.31
1967632,26.21
1971024,25.90
1974384,26.15
1977720,26.34

